trait_group,trait_name,option,weight
name,female,MARY,2629
name,female,PATRICIA,1073
name,female,LINDA,1035
name,female,BARBARA,980
name,female,ELIZABETH,937
name,female,JENNIFER,932
name,female,MARIA,828
name,female,SUSAN,794
name,female,MARGARET,768
name,female,DOROTHY,727
name,female,LISA,704
name,female,NANCY,669
name,female,KAREN,667
name,female,BETTY,666
name,female,HELEN,663
name,female,SANDRA,629
name,female,DONNA,583
name,female,CAROL,565
name,female,RUTH,562
name,female,SHARON,522
name,female,MICHELLE,519
name,female,LAURA,510
name,female,SARAH,508
name,female,KIMBERLY,504
name,female,DEBORAH,494
name,female,JESSICA,490
name,female,SHIRLEY,482
name,female,CYNTHIA,469
name,female,ANGELA,468
name,female,MELISSA,462
name,female,BRENDA,455
name,female,AMY,451
name,female,ANNA,440
name,female,REBECCA,430
name,female,VIRGINIA,430
name,female,KATHLEEN,424
name,female,PAMELA,416
name,female,MARTHA,412
name,female,DEBRA,408
name,female,AMANDA,404
name,female,STEPHANIE,400
name,female,CAROLYN,385
name,female,CHRISTINE,382
name,female,MARIE,379
name,female,JANET,379
name,female,CATHERINE,373
name,female,FRANCES,370
name,female,ANN,364
name,female,JOYCE,364
name,female,DIANE,359
name,female,ALICE,357
name,female,JULIE,348
name,female,HEATHER,337
name,female,TERESA,336
name,female,DORIS,335
name,female,GLORIA,335
name,female,EVELYN,322
name,female,JEAN,315
name,female,CHERYL,315
name,female,MILDRED,313
name,female,KATHERINE,313
name,female,JOAN,306
name,female,ASHLEY,303
name,female,JUDITH,297
name,female,ROSE,296
name,female,JANICE,285
name,female,KELLY,283
name,female,NICOLE,281
name,female,JUDY,276
name,female,CHRISTINA,275
name,female,KATHY,272
name,female,THERESA,271
name,female,BEVERLY,267
name,female,DENISE,264
name,female,TAMMY,259
name,female,IRENE,252
name,female,JANE,250
name,female,LORI,248
name,female,RACHEL,242
name,female,MARILYN,241
name,female,ANDREA,236
name,female,KATHRYN,234
name,female,LOUISE,229
name,female,SARA,229
name,female,ANNE,228
name,female,JACQUELINE,228
name,female,WANDA,226
name,female,BONNIE,223
name,female,JULIA,223
name,female,RUBY,221
name,female,LOIS,220
name,female,TINA,220
name,female,PHYLLIS,219
name,female,NORMA,218
name,female,PAULA,217
name,female,DIANA,216
name,female,ANNIE,216
name,female,LILLIAN,211
name,female,EMILY,208
name,female,ROBIN,208
name,female,PEGGY,208
name,female,CRYSTAL,207
name,female,GLADYS,205
name,female,RITA,204
name,female,DAWN,202
name,female,CONNIE,200
name,female,FLORENCE,200
name,female,TRACY,197
name,female,EDNA,197
name,female,TIFFANY,195
name,female,CARMEN,195
name,female,ROSA,194
name,female,CINDY,192
name,female,GRACE,189
name,female,WENDY,185
name,female,VICTORIA,180
name,female,EDITH,179
name,female,KIM,178
name,female,SHERRY,178
name,female,SYLVIA,177
name,female,JOSEPHINE,177
name,female,THELMA,175
name,female,SHANNON,175
name,female,SHEILA,175
name,female,ETHEL,174
name,female,ELLEN,173
name,female,ELAINE,173
name,female,MARJORIE,173
name,female,CARRIE,171
name,female,CHARLOTTE,169
name,female,MONICA,166
name,female,ESTHER,166
name,female,PAULINE,165
name,female,EMMA,165
name,female,JUANITA,164
name,female,ANITA,162
name,female,RHONDA,162
name,female,HAZEL,161
name,female,AMBER,160
name,female,EVA,159
name,female,DEBBIE,157
name,female,APRIL,154
name,female,LESLIE,154
name,female,CLARA,153
name,female,LUCILLE,153
name,female,JAMIE,153
name,female,JOANNE,150
name,female,ELEANOR,150
name,female,VALERIE,149
name,female,DANIELLE,149
name,female,MEGAN,147
name,female,ALICIA,146
name,female,SUZANNE,145
name,female,MICHELE,145
name,female,GAIL,145
name,female,BERTHA,143
name,female,DARLENE,142
name,female,VERONICA,142
name,female,JILL,142
name,female,ERIN,141
name,female,GERALDINE,141
name,female,LAUREN,137
name,female,CATHY,137
name,female,JOANN,136
name,female,LORRAINE,135
name,female,LYNN,135
name,female,SALLY,135
name,female,REGINA,133
name,female,ERICA,130
name,female,BEATRICE,130
name,female,DOLORES,129
name,female,BERNICE,128
name,female,AUDREY,127
name,female,YVONNE,126
name,female,ANNETTE,125
name,female,JUNE,125
name,female,SAMANTHA,124
name,female,MARION,122
name,female,DANA,122
name,female,STACY,121
name,female,ANA,120
name,female,RENEE,120
name,female,IDA,118
name,female,VIVIAN,118
name,female,ROBERTA,117
name,female,HOLLY,117
name,female,BRITTANY,117
name,female,MELANIE,116
name,female,LORETTA,115
name,female,YOLANDA,115
name,female,JEANETTE,115
name,female,LAURIE,114
name,female,KATIE,113
name,female,KRISTEN,111
name,female,VANESSA,111
name,female,ALMA,111
name,female,SUE,111
name,female,ELSIE,110
name,female,BETH,110
name,female,JEANNE,109
name,female,VICKI,109
name,female,CARLA,107
name,female,TARA,107
name,female,ROSEMARY,107
name,female,EILEEN,105
name,female,TERRI,105
name,female,GERTRUDE,103
name,female,LUCY,103
name,female,TONYA,102
name,female,ELLA,101
name,female,STACEY,101
name,female,WILMA,99
name,female,GINA,99
name,female,KRISTIN,99
name,female,JESSIE,98
name,female,NATALIE,98
name,female,AGNES,98
name,female,VERA,98
name,female,WILLIE,97
name,female,CHARLENE,97
name,female,BESSIE,96
name,female,DELORES,95
name,female,MELINDA,94
name,female,PEARL,94
name,female,ARLENE,94
name,female,MAUREEN,92
name,female,COLLEEN,92
name,female,ALLISON,92
name,female,TAMARA,92
name,female,JOY,91
name,female,GEORGIA,91
name,female,CONSTANCE,91
name,female,LILLIE,90
name,female,CLAUDIA,90
name,female,JACKIE,90
name,female,MARCIA,90
name,female,TANYA,89
name,female,NELLIE,89
name,female,MINNIE,89
name,female,MARLENE,88
name,female,HEIDI,88
name,female,GLENDA,88
name,female,LYDIA,86
name,female,VIOLA,86
name,female,COURTNEY,86
name,female,MARIAN,86
name,female,STELLA,85
name,female,CAROLINE,85
name,female,DORA,84
name,female,JO,83
name,female,VICKIE,82
name,female,MATTIE,81
name,female,TERRY,80
name,female,MAXINE,79
name,female,IRMA,79
name,female,MABEL,78
name,female,MARSHA,78
name,female,MYRTLE,78
name,female,LENA,77
name,female,CHRISTY,77
name,female,DEANNA,76
name,female,PATSY,76
name,female,HILDA,75
name,female,GWENDOLYN,74
name,female,JENNIE,73
name,female,NORA,73
name,female,MARGIE,72
name,female,NINA,72
name,female,CASSANDRA,72
name,female,LEAH,72
name,female,PENNY,71
name,female,KAY,71
name,female,PRISCILLA,71
name,female,NAOMI,71
name,female,CAROLE,71
name,female,BRANDY,70
name,female,OLGA,70
name,female,BILLIE,69
name,female,DIANNE,69
name,female,TRACEY,69
name,female,LEONA,69
name,female,JENNY,68
name,female,FELICIA,68
name,female,SONIA,68
name,female,MIRIAM,66
name,female,VELMA,66
name,female,BECKY,66
name,female,BOBBIE,65
name,female,VIOLET,65
name,female,KRISTINA,65
name,female,TONI,64
name,female,MISTY,63
name,female,MAE,63
name,female,SHELLY,62
name,female,DAISY,62
name,female,RAMONA,62
name,female,SHERRI,62
name,female,ERIKA,61
name,female,KATRINA,61
name,female,CLAIRE,61
name,female,LINDSEY,60
name,female,LINDSAY,60
name,female,GENEVA,59
name,female,GUADALUPE,59
name,female,BELINDA,59
name,female,MARGARITA,59
name,female,SHERYL,59
name,female,CORA,58
name,female,FAYE,58
name,female,ADA,57
name,female,NATASHA,57
name,female,SABRINA,57
name,female,ISABEL,57
name,female,MARGUERITE,56
name,female,HATTIE,56
name,female,HARRIET,56
name,female,MOLLY,55
name,female,CECILIA,55
name,female,KRISTI,55
name,female,BRANDI,55
name,female,BLANCHE,55
name,female,SANDY,55
name,female,ROSIE,55
name,female,JOANNA,55
name,female,IRIS,55
name,female,EUNICE,54
name,female,ANGIE,54
name,female,INEZ,53
name,female,LYNDA,53
name,female,MADELINE,52
name,female,AMELIA,52
name,female,ALBERTA,52
name,female,GENEVIEVE,51
name,female,MONIQUE,51
