trait_group,trait_name,option,weight
name,male,JAMES,3318
name,male,JOHN,3271
name,male,ROBERT,3143
name,male,MICHAEL,2629
name,male,WILLIAM,2451
name,male,DAVID,2363
name,male,RICHARD,1703
name,male,CHARLES,1523
name,male,JOSEPH,1404
name,male,THOMAS,1380
name,male,CHRISTOPHER,1035
name,male,DANIEL,974
name,male,PAUL,948
name,male,MARK,938
name,male,DONALD,931
name,male,GEORGE,927
name,male,KENNETH,826
name,male,STEVEN,780
name,male,EDWARD,779
name,male,BRIAN,736
name,male,RONALD,725
name,male,ANTHONY,721
name,male,KEVIN,671
name,male,JASON,660
name,male,MATTHEW,657
name,male,GARY,650
name,male,TIMOTHY,640
name,male,JOSE,613
name,male,LARRY,598
name,male,JEFFREY,591
name,male,FRANK,581
name,male,SCOTT,546
name,male,ERIC,544
name,male,STEPHEN,540
name,male,ANDREW,537
name,male,RAYMOND,488
name,male,GREGORY,441
name,male,JOSHUA,435
name,male,JERRY,432
name,male,DENNIS,415
name,male,WALTER,399
name,male,PATRICK,389
name,male,PETER,381
name,male,HAROLD,371
name,male,DOUGLAS,367
name,male,HENRY,365
name,male,CARL,346
name,male,ARTHUR,335
name,male,RYAN,328
name,male,ROGER,322
name,male,JOE,321
name,male,JUAN,316
name,male,JACK,315
name,male,ALBERT,314
name,male,JONATHAN,313
name,male,JUSTIN,311
name,male,TERRY,311
name,male,GERALD,309
name,male,KEITH,308
name,male,SAMUEL,306
name,male,WILLIE,302
name,male,RALPH,282
name,male,LAWRENCE,282
name,male,NICHOLAS,275
name,male,ROY,273
name,male,BENJAMIN,270
name,male,BRUCE,263
name,male,BRANDON,260
name,male,ADAM,259
name,male,HARRY,251
name,male,FRED,251
name,male,WAYNE,249
name,male,BILLY,248
name,male,STEVE,246
name,male,LOUIS,243
name,male,JEREMY,242
name,male,AARON,240
name,male,RANDY,232
name,male,HOWARD,230
name,male,EUGENE,230
name,male,CARLOS,229
name,male,RUSSELL,224
name,male,BOBBY,223
name,male,VICTOR,222
name,male,MARTIN,216
name,male,ERNEST,215
