trait_group,trait_name,option,weight
personality,hobby,Cooking and baking,410
personality,hobby,Reading,370
personality,hobby,Spending time with pets,350
personality,hobby,Video gaming,330
personality,hobby,Outdoor activities,300
personality,hobby,Shopping,290
personality,hobby,Traveling,290
personality,hobby,Arts crafts and DIY,250
personality,hobby,Socializing,260
personality,hobby,Playing board and card games,260
personality,hobby,Gardening and plants,240
personality,hobby,Sports and fitness,200
personality,hobby,Meditation and wellness,200
personality,hobby,Photography,200
personality,hobby,Tech and computing,200
personality,hobby,Writing,190
personality,hobby,Making music,170
personality,hobby,Watching movies or TV shows,450
personality,hobby,Accessory collecting,40
personality,hobby,Acting,39.9
personality,hobby,Action figure collecting,39.8
personality,hobby,Home decorating,39.7
personality,hobby,Adopting a pet,39.6
personality,hobby,Advocacy,39.4
personality,hobby,Alaskan cruise,39.3
personality,hobby,All-inclusive resort stays,39.2
personality,hobby,Antique collecting,39.1
personality,hobby,Archery,39
personality,hobby,Astrology,38.9
personality,hobby,Astronomy,38.8
personality,hobby,Attending art galleries,38.7
personality,hobby,Attending literary festivals,38.5
personality,hobby,Attending pet shows,38.4
personality,hobby,Attending plays and operas,38.3
personality,hobby,Attending support groups,38.2
personality,hobby,Attending workshops,38.1
personality,hobby,Autograph collecting,38
personality,hobby,Backpacking,37.9
personality,hobby,Badminton,37.8
personality,hobby,Ballroom dancing,37.7
personality,hobby,Barbie collecting,37.5
personality,hobby,Baseball,37.4
personality,hobby,Basketball,37.3
personality,hobby,Bathroom remodel,37.2
personality,hobby,Beach vacations,37.1
personality,hobby,Beekeeping,37
personality,hobby,Belly dancing,36.9
personality,hobby,Berry picking,36.8
personality,hobby,Biking,36.6
personality,hobby,Billiards,36.5
personality,hobby,Bingo,36.4
personality,hobby,Bird watching,36.3
personality,hobby,Blogging,36.2
personality,hobby,Boating,36.1
personality,hobby,Bodybuilding,36
personality,hobby,Book collecting,35.9
personality,hobby,Bowling,35.8
personality,hobby,Boxing,35.6
personality,hobby,Braising,35.5
personality,hobby,Bread making,35.4
personality,hobby,Break dancing,35.3
personality,hobby,Building a shed,35.2
personality,hobby,Building furniture,35.1
personality,hobby,Bullet journaling,35
personality,hobby,Bungee jumping,34.9
personality,hobby,Butterfly gardening,34.7
personality,hobby,Butterfly watching,34.6
personality,hobby,Cake decorating,34.5
personality,hobby,Calligraphy,34.4
personality,hobby,Camping,34.3
personality,hobby,Candle making,34.2
personality,hobby,Canning,34.1
personality,hobby,Canoeing,34
personality,hobby,Card games,33.8
personality,hobby,Caribbean cruise,33.7
personality,hobby,Caving,33.6
personality,hobby,Cheese making,33.5
personality,hobby,Chess,33.4
personality,hobby,Christmas ornament collecting,33.3
personality,hobby,City walking tours,33.2
personality,hobby,Coffee roasting,33.1
personality,hobby,Collage making,33
personality,hobby,Coloring,32.8
personality,hobby,Comic collecting,32.7
personality,hobby,Composting,32.6
personality,hobby,Cookie decorating,32.5
personality,hobby,Couponing,32.4
personality,hobby,Cricket,32.3
personality,hobby,Crocheting,32.2
personality,hobby,DIY headboard,31.9
personality,hobby,DIY home product creation,31.8
personality,hobby,Daily affirmations,31.7
personality,hobby,Darts,31.6
personality,hobby,Designing a meditation room,31.5
personality,hobby,Dining at new restaurants,31.4
personality,hobby,Disc golf,31.3
personality,hobby,Dog training,31.2
personality,hobby,Dog walking,31.1
personality,hobby,Drawing,30.9
personality,hobby,Editing,30.8
personality,hobby,Escape rooms,30.7
personality,hobby,Exploring your hometown as a tourist,30.6
personality,hobby,Fantasy sports,30.5
personality,hobby,Fashion trends,30.4
personality,hobby,Fencing,30.3
personality,hobby,Fireplace makeover,30.2
personality,hobby,Fishing,30
personality,hobby,Flower arranging,29.9
