
trait_group,trait_name,option,weight,notes
personality,personality_type,ISFJ,13.8,
personality,personality_type,ESFJ,12.3,
personality,personality_type,ISTJ,11.6,
personality,personality_type,ISFP,8.8,
personality,personality_type,ESTJ,8.7,
personality,personality_type,ESFP,8.5,
personality,personality_type,ENFP,8.1,
personality,personality_type,ISTP,5.4,
personality,personality_type,INFP,4.4,
personality,personality_type,ESTP,4.3,
personality,personality_type,INTP,3.3,
personality,personality_type,ENTP,3.2,
personality,personality_type,ENFJ,2.5,
personality,personality_type,INTJ,2.1,
personality,personality_type,ENTJ,1.8,
personality,personality_type,INFJ,1.5,
