
trait_group,trait_name,option,weight,notes
personality,secret,none,40,no notable secret
personality,secret,hidden_romance,8,secret relationship or affair
personality,secret,hidden_crime,8,secret crime or legal trouble
personality,secret,past_trauma,15,trauma kept hidden
personality,secret,hidden_health_issue,7,hidden mental or physical health issue
personality,secret,hidden_identity,5,false identity or undercover
personality,secret,hidden_family_member,5,unknown child or relative
personality,secret,hidden_addiction,5,substance or behavioral addiction
personality,secret,hidden_talent,5,unexpected talent or skill
personality,secret,double_agent,2,secretly working for opposing side
